seed,weather,scrap_count,total_scrap_value,goldbar_only,item_1001_count,item_1002_count,item_152767_count
0,None,19,1030,0,8,10,1
1,Foggy,23,1109,0,6,15,2
2,None,19,844,0,3,15,1
3,Foggy,24,1191,0,5,18,1
4,None,19,921,0,3,13,3
5,Foggy,24,1142,0,8,15,1
6,None,20,950,0,6,14,0
7,Foggy,24,1217,0,6,16,2
8,None,20,938,0,6,13,1
9,Rainy,16,812,0,3,12,1
10,None,21,1016,0,4,16,1
11,Rainy,16,858,0,6,10,0
12,None,21,1119,0,7,13,1
13,Rainy,17,848,0,3,12,2
14,None,21,1151,0,8,12,1
15,Rainy,17,726,0,5,11,1
16,None,22,947,0,3,19,0
17,Rainy,17,865,0,6,11,0
18,None,22,1012,0,8,13,1
19,Stormy,18,1345,0,2,10,6
20,Foggy,23,1188,0,7,16,0
21,Stormy,18,760,0,5,13,0
22,Foggy,23,1399,0,9,12,2
23,None,19,970,0,4,13,2
24,Foggy,23,1295,0,5,15,3
25,None,19,926,0,3,15,1
26,Foggy,24,1108,0,7,17,0
27,None,19,892,0,4,14,1
28,Foggy,24,1212,0,6,17,1
29,None,20,964,0,6,12,2
30,Foggy,16,808,0,6,8,2
31,None,20,992,0,5,14,1
32,Rainy,16,799,0,3,13,0
33,None,21,927,0,2,18,1
34,Rainy,16,939,0,2,12,2
35,None,21,1079,0,6,14,1
36,Rainy,17,739,0,4,12,1
37,None,22,1179,0,9,11,2
38,Rainy,17,821,0,5,11,1
39,None,22,1154,0,4,16,2
40,Stormy,18,1200,0,18,0,0
41,None,22,949,0,10,12,0
42,Stormy,18,933,0,2,14,2
43,Foggy,23,1079,0,4,18,1
44,Stormy,18,938,0,5,9,4
45,Foggy,23,1219,0,5,16,2
46,None,19,908,0,5,12,2
47,Foggy,24,1070,0,7,16,1
48,None,19,920,0,7,12,0
49,Foggy,24,1114,0,5,17,2
50,None,20,971,0,6,13,1
51,Foggy,24,1133,0,8,15,1
52,None,20,995,0,9,10,1
53,Foggy,16,903,0,4,11,1
54,None,20,903,0,5,13,2
55,Rainy,16,762,0,5,11,0
56,None,21,940,0,3,17,1
57,Rainy,17,700,0,0,17,0
58,None,21,862,0,7,14,0
59,Rainy,17,825,0,2,14,1
60,None,22,1085,0,7,13,2
61,Rainy,17,959,0,4,11,2
62,None,22,1121,0,4,15,3
63,Stormy,18,806,0,2,16,0
64,None,22,1069,0,7,14,1
65,Stormy,18,926,0,5,11,2
66,Foggy,23,1018,0,3,19,1
67,None,19,983,0,6,13,0
68,Foggy,23,1111,0,6,16,1
69,None,19,1155,0,1,15,3
70,Foggy,24,1257,0,8,14,2
71,None,19,860,0,6,13,0
72,Foggy,24,1381,0,5,16,3
73,None,20,886,0,5,15,0
74,Foggy,24,1110,0,7,17,0
75,None,20,1019,0,2,17,1
76,Rainy,16,672,0,2,14,0
77,None,21,932,0,6,13,2
78,Rainy,16,692,0,4,11,1
79,None,21,969,0,8,13,0
80,Rainy,17,936,0,3,11,3
81,None,21,1277,0,6,12,3
82,Rainy,17,752,0,3,12,2
83,None,22,1016,0,4,16,2
84,Rainy,17,954,0,5,10,2
85,None,22,942,0,5,17,0
86,Stormy,18,814,0,6,12,0
87,Foggy,23,1202,0,9,12,2
88,Stormy,18,902,0,7,11,0
89,Foggy,23,1260,0,4,18,1
90,None,19,996,0,5,12,2
91,Foggy,23,1197,0,8,13,2
92,None,19,864,0,3,15,1
93,Foggy,24,1189,0,7,15,2
94,None,20,1039,0,7,11,2
95,Foggy,24,1115,0,4,20,0
96,None,20,876,0,3,15,2
97,Foggy,16,729,0,3,13,0
98,None,20,707,0,0,20,0
99,Rainy,16,783,0,4,12,0
100,None,21,1114,0,5,14,2
101,Rainy,16,686,0,5,11,0
102,None,21,980,0,6,13,2
103,Rainy,17,995,0,6,10,1
104,None,22,1101,0,4,17,1
105,Rainy,17,869,0,3,13,1
106,None,22,926,0,3,19,0
107,Stormy,18,878,0,2,15,1
108,None,22,894,0,6,16,0
109,Stormy,18,1082,0,5,11,2
110,Foggy,23,1104,0,7,14,2
111,None,18,829,0,5,12,1
112,Foggy,23,1215,0,3,17,3
113,None,19,926,0,4,15,0
114,Foggy,24,1188,0,8,16,0
115,None,19,876,0,4,15,0
116,Foggy,24,953,0,3,21,0
117,None,20,1144,0,10,8,2
118,Foggy,24,1158,0,6,16,2
119,None,20,897,0,3,16,1
120,Rainy,16,748,0,3,12,1
121,None,20,1014,0,8,11,1
122,Rainy,16,690,0,5,11,0
123,None,21,1071,0,5,15,1
124,Rainy,17,757,0,5,12,0
125,None,21,1163,0,6,12,3
126,Rainy,17,808,0,4,13,0
127,None,22,1140,0,3,16,3
128,Rainy,17,796,0,9,8,0
129,None,22,1122,0,5,15,2
130,Stormy,18,818,0,2,14,2
131,None,22,1170,0,4,16,2
132,Stormy,18,712,0,0,18,0
133,Foggy,23,996,0,6,16,1
134,None,19,975,0,10,9,0
135,Foggy,23,1073,0,4,19,0
136,None,19,815,0,5,14,0
137,Foggy,24,1379,0,2,19,3
138,None,19,838,0,2,16,1
139,Foggy,24,1153,0,3,19,2
140,None,20,916,0,6,14,0
141,Foggy,16,974,0,5,7,4
142,None,20,815,0,3,17,0
143,Rainy,16,975,0,6,8,2
144,None,21,917,0,7,13,1
145,Rainy,16,746,0,1,15,0
146,None,21,1025,0,3,17,1
147,Rainy,17,830,0,3,11,3
148,None,21,1072,0,5,15,1
149,Rainy,17,882,0,3,11,3
150,None,22,1002,0,6,15,1
151,Rainy,18,1075,0,5,11,2
152,None,22,944,0,6,15,1
153,Stormy,18,836,0,5,13,0
154,Foggy,23,1111,0,6,17,0
155,Stormy,18,1005,0,4,12,2
156,Foggy,23,1296,0,7,12,4
157,None,19,918,0,6,11,2
158,Foggy,23,1026,0,5,17,1
159,None,19,846,0,5,14,0
160,Foggy,24,1173,0,8,15,1
161,None,20,1008,0,4,14,2
162,Foggy,24,1169,0,4,18,2
163,None,20,1077,0,11,8,1
164,Foggy,16,721,0,7,9,0
165,None,20,1085,0,3,14,3
166,Rainy,16,816,0,5,10,1
167,None,21,1123,0,2,16,3
168,Rainy,16,634,0,2,13,1
169,None,21,1124,0,5,15,1
170,Rainy,17,679,0,4,13,0
171,None,22,1036,0,7,15,0
172,Rainy,17,816,0,5,11,1
173,None,22,853,0,4,18,0
174,Stormy,18,1107,0,11,6,1
175,None,22,949,0,5,17,0
176,Stormy,18,900,0,2,13,3
177,Foggy,23,1015,0,4,19,0
178,None,18,790,0,5,13,0
179,Foggy,23,1129,0,8,15,0
180,None,19,835,0,4,14,1
181,Foggy,24,1112,0,7,16,1
182,None,19,1109,0,4,13,2
183,Foggy,24,1238,0,7,16,1
184,None,20,797,0,4,16,0
185,Foggy,24,1308,0,5,16,3
186,None,20,1146,0,9,9,2
187,Rainy,16,706,0,1,14,1
188,None,20,852,0,2,17,1
189,Rainy,16,754,0,3,13,0
190,None,21,2703,1,0,0,21
191,Rainy,17,824,0,6,11,0
192,None,21,1248,0,6,12,3
193,Rainy,17,1010,0,8,8,1
194,None,22,1193,0,7,13,2
195,Rainy,17,779,0,3,13,1
196,None,22,849,0,5,17,0
197,Stormy,18,770,0,4,14,0
198,Foggy,23,1185,0,10,13,0
199,Stormy,18,849,0,4,13,1
200,Foggy,23,1081,0,5,15,3
201,None,19,1071,0,8,9,2
202,Foggy,23,971,0,1,21,1
203,None,19,1049,0,8,11,0
204,Foggy,24,1142,0,8,16,0
205,None,19,892,0,3,14,2
206,Foggy,24,992,0,6,18,0
207,None,20,932,0,0,20,0
208,Foggy,16,725,0,4,11,1
209,None,20,832,0,4,16,0
210,Rainy,16,706,0,3,12,1
211,None,21,1011,0,5,16,0
212,Rainy,16,713,0,5,11,0
213,None,21,912,0,2,19,0
214,Rainy,17,1001,0,7,6,4
215,None,21,1115,0,5,14,2
216,Rainy,17,690,0,4,13,0
217,None,22,1027,0,5,17,0
218,Rainy,18,769,0,2,16,0
219,None,22,1042,0,2,18,2
220,Stormy,18,915,0,3,12,3
221,Foggy,23,1391,0,8,12,3
222,Stormy,18,929,0,4,13,1
223,Foggy,23,1127,0,8,14,1
224,None,19,700,0,0,19,0
225,Foggy,23,981,0,5,17,1
226,None,19,943,0,3,15,1
227,Foggy,24,1107,0,7,17,0
228,None,20,975,0,5,13,2
229,Foggy,24,1301,0,5,16,3
230,None,20,1245,0,3,13,4
231,Foggy,16,850,0,7,9,0
232,None,20,1200,0,5,13,2
233,Rainy,16,919,0,5,8,3
234,None,21,959,0,6,14,1
235,Rainy,16,800,0,4,12,0
236,None,21,1114,0,8,11,2
237,Rainy,17,591,0,2,15,0
238,None,22,1528,0,4,12,6
239,Rainy,17,959,0,6,10,1
240,None,22,1263,0,7,13,2
241,Stormy,18,845,0,5,12,1
242,None,22,870,0,4,18,0
243,Stormy,18,1166,0,6,7,5
244,Foggy,23,1115,0,6,15,2
245,None,18,815,0,4,13,1
246,Foggy,23,1209,0,9,13,1
247,None,19,801,0,4,15,0
248,Foggy,24,1134,0,5,18,1
249,None,19,868,0,2,17,0
250,Foggy,24,1408,0,7,12,5
251,None,20,1219,0,6,11,3
252,Foggy,24,1032,0,5,18,1
253,None,20,898,0,2,17,1
254,Rainy,16,892,0,6,9,1
255,None,21,1030,0,5,16,0
256,Rainy,16,797,0,5,9,2
257,None,21,1143,0,5,14,2
258,Rainy,17,993,0,3,11,3
259,None,21,989,0,5,16,0
260,Rainy,17,880,0,2,13,2
261,None,22,1047,0,8,13,1
262,Rainy,17,865,0,5,11,1
263,None,22,1120,0,10,11,1
264,Stormy,18,801,0,4,14,0
265,Foggy,23,1156,0,7,16,0
266,Stormy,18,820,0,5,12,1
267,Foggy,23,1086,0,1,20,2
268,None,19,989,0,9,10,0
269,Foggy,23,1112,0,7,15,1
270,None,19,816,0,2,17,0
271,Foggy,24,1282,0,8,14,2
272,None,19,1069,0,5,11,3
273,Foggy,24,1323,0,7,17,0
274,None,20,1123,0,9,10,1
275,Foggy,16,749,0,3,12,1
276,None,20,957,0,8,12,0
277,Rainy,16,808,0,4,11,1
278,None,21,1006,0,4,16,1
279,Rainy,16,748,0,5,10,1
280,None,21,1084,0,9,12,0
281,Rainy,17,857,0,4,12,1
282,None,21,900,0,0,21,0
283,Rainy,17,719,0,6,11,0
284,None,22,999,0,5,16,1
285,Stormy,18,880,0,5,12,1
286,None,22,1105,0,9,13,0
287,Stormy,18,826,0,2,15,1
288,Foggy,23,1138,0,5,15,3
289,Stormy,18,857,0,2,16,0
290,Foggy,23,1038,0,2,19,2
291,None,19,982,0,6,11,2
292,Foggy,23,1274,0,6,15,2
293,None,19,838,0,5,14,0
294,Foggy,24,1454,0,6,14,4
295,None,20,962,0,3,17,0
296,Foggy,24,1087,0,5,18,1
297,None,20,1056,0,5,13,2
298,Foggy,16,776,0,6,8,2
299,None,20,1007,0,5,14,1
300,Rainy,16,705,0,3,13,0
301,None,21,1156,0,4,15,2
302,Rainy,16,606,0,0,16,0
303,None,21,1256,0,7,11,3
304,Rainy,17,937,0,4,11,2
305,None,22,1189,0,5,16,1
306,Rainy,17,873,0,6,10,1
307,None,22,1004,0,7,13,2
308,Stormy,18,962,0,5,11,2
309,None,22,1197,0,7,14,1
310,Stormy,18,823,0,4,13,1
311,Foggy,23,1055,0,5,18,0
312,None,19,852,0,5,14,0
313,Foggy,23,1126,0,4,17,2
314,None,19,993,0,6,12,1
315,Foggy,24,1400,0,7,14,3
316,None,19,795,0,4,15,0
317,Foggy,24,1178,0,4,19,1
318,None,20,941,0,3,16,1
319,Foggy,24,1290,0,3,18,3
320,None,20,1032,0,4,13,3
321,Rainy,16,767,0,5,11,0
322,None,21,931,0,5,16,0
323,Rainy,16,791,0,5,10,1
324,None,21,868,0,3,18,0
325,Rainy,17,863,0,1,14,2
326,None,21,1183,0,7,12,2
327,Rainy,17,785,0,4,12,1
328,None,22,947,0,9,13,0
329,Rainy,17,824,0,7,9,1
330,None,22,995,0,2,18,2
331,Stormy,18,763,0,3,15,0
332,Foggy,23,1016,0,3,19,1
333,Stormy,18,915,0,3,13,2
334,Foggy,23,1154,0,5,16,2
335,None,19,949,0,2,14,3
336,Foggy,23,1282,0,10,12,1
337,None,19,972,0,5,12,2
338,Foggy,24,1255,0,6,16,2
339,None,19,824,0,5,13,1
340,Foggy,24,1288,0,2,20,2
341,None,20,968,0,5,14,1
342,Foggy,16,821,0,4,12,0
343,None,20,1107,0,6,11,3
344,Rainy,16,883,0,5,10,1
345,None,21,1352,0,9,10,2
346,Rainy,16,719,0,4,12,0
347,None,21,848,0,4,17,0
348,Rainy,17,875,0,7,9,1
349,None,21,1030,0,7,13,1
350,Rainy,17,922,0,4,12,1
351,None,22,1031,0,4,16,2
352,Stormy,18,937,0,6,11,1
353,None,22,1190,0,3,17,2
354,Stormy,18,680,0,2,16,0
355,Foggy,23,942,0,6,16,1
356,Stormy,18,831,0,7,10,1
357,Foggy,23,906,0,0,23,0
358,None,19,1005,0,6,11,2
359,Foggy,24,1001,0,4,19,1
360,None,19,832,0,5,14,0
361,Foggy,24,1211,0,5,18,1
362,None,20,1001,0,4,14,2
363,Foggy,24,1281,0,5,17,2
364,None,20,884,0,5,15,0
365,Foggy,16,796,0,2,13,1
366,None,20,1074,0,5,13,2
367,Rainy,16,808,0,5,10,1
368,None,21,1314,0,6,11,4
369,Rainy,17,842,0,6,10,1
370,None,21,843,0,2,19,0
371,Rainy,17,702,0,4,13,0
372,None,22,959,0,3,18,1
373,Rainy,17,727,0,2,14,1
374,None,22,877,0,0,22,0
375,Stormy,18,728,0,5,13,0
376,None,22,1150,0,4,16,2
377,Stormy,18,908,0,5,10,3
378,Foggy,23,1151,0,7,15,1
379,None,19,795,0,7,12,0
380,Foggy,23,1152,0,6,15,2
381,None,19,942,0,6,13,0
382,Foggy,24,1192,0,4,18,2
383,None,19,756,0,3,16,0
384,Foggy,24,1405,0,7,15,2
385,None,20,879,0,9,11,0
386,Foggy,24,1288,0,8,14,2
387,None,20,920,0,6,14,0
388,Rainy,16,782,0,5,10,1
389,None,21,993,0,4,17,0
390,Rainy,16,910,0,4,11,1
391,None,21,779,0,0,21,0
392,Rainy,17,839,0,6,11,0
393,None,21,942,0,7,13,1
394,Rainy,17,733,0,2,15,0
395,None,22,1105,0,2,18,2
396,Rainy,17,737,0,5,10,2
397,None,22,1063,0,5,14,3
398,Stormy,18,868,0,6,12,0
399,Foggy,23,1075,0,6,17,0
400,Stormy,18,848,0,4,11,3
401,Foggy,23,959,0,4,19,0
402,None,19,835,0,4,14,1
403,Foggy,23,1245,0,5,16,2
404,None,19,829,0,5,14,0
405,Foggy,24,1066,0,7,17,0
406,None,19,1000,0,5,12,2
407,Foggy,24,1262,0,6,17,1
408,None,20,979,0,5,14,1
409,Foggy,16,913,0,6,9,1
410,None,20,840,0,5,14,1
411,Rainy,16,719,0,4,11,1
412,None,21,972,0,6,15,0
413,Rainy,16,750,0,2,13,1
414,None,21,1142,0,6,14,1
415,Rainy,17,996,0,4,11,2
416,None,22,1033,0,3,16,3
417,Rainy,17,958,0,6,10,1
418,None,22,1040,0,7,14,1
419,Stormy,18,771,0,7,11,0
420,None,22,1044,0,8,13,1
421,Stormy,18,724,0,5,13,0
422,Foggy,23,1344,0,6,14,3
423,Stormy,18,737,0,3,15,0
424,Foggy,23,1258,0,6,15,2
425,None,19,779,0,5,14,0
426,Foggy,24,1300,0,7,13,4
427,None,19,1119,0,2,14,3
428,Foggy,24,1235,0,8,15,1
429,None,20,906,0,6,13,1
430,Foggy,24,1177,0,2,21,1
431,None,20,1069,0,6,12,2
432,Foggy,16,674,0,0,16,0
433,None,20,928,0,2,16,2
434,Rainy,16,688,0,5,11,0
435,None,21,1051,0,7,13,1
436,Rainy,17,879,0,4,12,1
437,None,21,1132,0,1,16,4
438,Rainy,17,843,0,5,12,0
